Kennung;Name;Streckentyp (1=freie Strecke 2=Bruecke);Streckenbelag (1=Asphalt 2=Beton);Breite;Laenge;Hoehe;Flughafen;Inaktiv
H219;Karthaus;1;1;51,880192;7,347090;70;;
H220;Borken;1;1;51,858140;7,006220;65;;
H228;Kaltenbach;1;1;51,766670;6,950000;58;;
H232;Darup ;1;1;51,932306;7,281613;150;;
H234;Duelmen;1;1;51,833330;7,233330;58;;
H236;AS Ascheberg;1;1;51,795106;7,633580;69;;
H241;Ascheberg;1;1;51,754100;7,692300;71;;
H242;Amelsbueren;2;1;51,878548;7,576286;59;;
H243;Muenster-Nord;1;1;51,992576;7,563956;77;;
H266;Guetersloh ;1;1;51,854598;8,324234;76;;
H267;Beckum;1;1;51,766670;8,050000;129;;
H272;AK Bielefeld;2;1;51,944722;8,548333;120;;
H273;Toppmannsbach;1;1;51,956600;8,503800;108;;
H274;Kohlstaedt;2;1;51,827527;8,875975;221;;
H275;Sennelager;1;1;51,757222;8,693056;110;;
H276;Schloss-Holte;1;1;51,871389;8,653333;123;;
H277;Stellbergbruecke;2;1;51,732828;8,997333;327;;
H292;Loewendorf;1;1;51,838728;9,275905;300;;
H302;Grenze/Goch;1;2;51,666670;6,083330;17;;
H308;Sonsbeck;2;1;51,600000;6,350000;23;;
H310;Hamminkeln;2;1;51,748300;6,590200;26;;
H317;Moers Nord;1;1;51,494170;6,628890;30;;
H318;RE-Ost;1;1;51,596060;7,252690;80;;
H319;OB-Neue-Mitte;1;1;51,497190;6,892030;42;;
H320;Hardenbergbruecke;2;1;51,441310;6,923970;78;;
H321;Velbert;1;1;51,363330;7,068890;186;;
H322;Helbingbruecke;2;1;51,449780;7,017560;80;;
H325;Dorsten / Lippebr.;2;1;51,666670;6,916670;28;;
H326;Huenxe;2;1;51,616670;6,716670;44;;
H327;Parwicker Bach;2;1;51,566670;7,033330;58;;
H328;Marl;1;1;51,633330;7,016670;40;;
H329;Bottrop AK;2;1;51,583330;6,916670;46;;
H331;Haltern;2;1;51,700000;7,150000;41;;
H332;Riemke;2;1;51,700000;7,200000;96;;
H334;Herne;2;1;51,558920;7,251110;48;;
H337;Recklinghausen-Herten;1;1;51,616670;7,166670;88;;
H338;Recklinghausen;2;1;51,600000;7,166670;78;;
H341;Kamener Kreuz;2;1;51,600930;7,687380;69;;
H345;Werne (Lippebr.);1;1;51,666670;7,683330;60;;
H347;Mengede Dek-Bruecke;2;1;51,583330;7,416670;91;;
H351;Werl;1;1;51,542760;7,920860;113;;
H352;Liedbachtalbruecke;2;1;51,516670;7,650000;131;;
H353;Letmathe;1;1;51,372360;7,611610;181;;
H370;Lipper Bruch;1;1;51,711390;8,355000;76;;
H371;Erwitte;2;1;51,606160;8,340340;113;;
H379;Lohme-Alme TB;2;1;51,616670;8,716670;282;;
H383;Bad Driburg;1;1;51,732215;9,007105;325;;
H406;Uentrop;1;1;51,690810;7,980470;68;;
H409;Wachtendonk;2;1;51,416670;6,366670;29;;
H413;AK Duisburg;2;1;51,446310;6,778670;36;;
H415;Kaiserberg;2;1;51,440440;6,805690;31;;
H417;Kyll;2;1;50,360830;6,510560;468;;
H418;Niepkanal-Bruecke;2;1;51,416670;6,516670;28;;
H421;Baerl;2;1;51,480860;6,680278;41;;
H422;AK Oberhausen;2;1;51,516670;6,816670;32;;
H423;Altenessen/Emscher;2;1;51,507200;6,966598;41;;
H426;Essen-Ost ;1;1;51,456000;7,045140;63;;
H427;Muelheim-Heissen ;1;1;51,436351;6,942932;117;;
H428;Neuenkamp;2;1;51,436990;6,712470;41;;
H431;Hochlarmark;2;1;51,550000;7,200000;55;;
H433;Stahlhausen;1;1;51,475027;7,148920;104;;
H434;Bochum ;2;1;51,500000;7,266670;141;;
H435;Gelsenkirchen;2;1;51,466670;7,083330;93;;
H436;Schalke;2;1;51,531500;7,079560;48;;
H437;Muensterstrasse;2;1;51,547220;7,105280;40;;
H438;Witten-Annen;1;1;51,466670;7,366670;162;;
H439;Martenerbruecke;2;1;51,516670;7,366670;91;;
H440;Bodelschwingh;2;1;51,550000;7,350000;123;;
H441; Dortmund Nordost;2;1;51,578283;7,493808;68;;
H442;Wambeln;2;1;51,533840;7,518514;75;;
H445;Schnettkerbruecke;2;1;51,500000;7,416670;97;;
H446;Unna-West/AK A44-A1;2;1;51,516670;7,666670;141;;
H447;Romberg Holz TB;2;1;51,433330;7,466670;244;;
H448;Lichtendorf;1;1;51,416670;7,600000;174;;
H449;Siddinghauser Weg;1;2;51,516670;7,766670;194;;
H451;Rhynern;1;1;51,616670;7,866670;87;;
H452;Wittbraeucker Strasse;1;1;51,426110;7,464170;221;;
H453;AK Hagen;2;1;51,316670;7,500000;310;;
H454;Luener Bach TB;2;1;51,516670;7,750000;157;;
H455;Kuschert;1;1;51,295278;7,846667;332;;
H456;Ostoenner Bach TB;2;1;51,536523;7,988963;121;;
H458;Blumenthaler Graben;1;2;51,516670;7,916670;211;;
H459;Neheim (Moehne);2;1;51,450000;7,950000;163;;
H461;Haarweg;1;1;51,503330;8,201390;294;;
H462;Deitmecke;2;1;51,383280;8,134940;260;;
H463;Belecke;1;1;51,494132;8,337665;296;;
H464;Stimm Stamm;1;1;51,389150;8,302910;537;;
H465;TB Rumbecke;2;1;51,393600;8,103300;221;;
H467;Bermecke;2;1;51,367747;8,443839;361;;
H469;Nuttlar;2;1;51,379697;8,426023;364;;
H470;Westerschledde TB;2;1;51,583330;8,450000;210;;
H472;Oerlinghausen;1;1;51,959314;8,654129;206;;
H480;Grundsteinheim;2;1;51,652357;8,864776;237;;
H481;Kleinenberg;1;1;51,597430;8,946730;323;;
H483;Ottensgrund TB;2;1;51,550000;8,750000;325;;
H484;Apfelbaumgrund TB;2;1;51,533330;8,866670;413;;
H485;Scherfede;1;1;51,572850;9,000640;379;;
H488;Diemelstadt;2;1;51,483330;8,983330;326;;
H500;AK Breitscheid;2;1;51,350800;6,859100;76;;
H507;Boisheim;1;1;51,266670;6,316670;60;;
H508;Moenchengladbach-West;1;1;51,216670;6,500000;36;;
H520;Fichtenhain;1;1;51,287300;6,556700;45;;
H521;Rhein-Herne-Kanal;2;1;51,476560;6,815110;31;;
H523;Schoenwasserpark-Bruecke;2;1;51,316670;6,616670;36;;
H524;GE-B 223;2;1;51,541920;6,891580;76;;
H526;Neersen;1;1;51,216670;6,500000;36;;
H529;Straelen;1;1;51,381400;6,221900;36;;
H530;Grunewald Bruecke;2;1;51,366670;6,750000;34;;
H531;Stockweg;1;1;51,350000;6,816670;43;;
H532;Mintarder Bruecke;2;1;51,366670;6,900000;73;;
H534;Wuelfrath;1;1;51,300830;7,065830;256;;
H535;Wuppertalbruecke;2;1;51,258300;7,232500;182;;
H538;ueF A44/A52;2;1;51,266670;6,800000;38;;
H544;Paradies TB;2;1;51,316670;7,266670;281;;
H545;Oberbarmen;1;1;51,310882;7,252156;321;;
H546;Elberfeld;1;1;51,270264;7,151772;188;;
H549;TB Rutenbeck;2;1;51,230000;7,098000;150;;
H551;Volmarstein TB;2;1;51,366670;7,400000;128;;
H552;Ruhrbruecke;2;1;51,416670;7,550000;111;;
H553;Brunsbecke TB;2;1;51,316670;7,566670;288;;
H554;Nahmer;1;1;51,316670;7,550000;360;;
H555;Suerenhagen TB;2;1;51,300000;7,583330;232;;
H556;Roelveder Muehle;1;1;51,266670;7,600000;404;;
H557;Dahl;1;1;51,250000;7,600000;391;;
H558;Eichelnbleck TB;2;1;51,300000;7,552780;292;;
H559;Rahmede TB;2;1;51,250830;7,618890;330;;
H560;Iserlohn-West;2;1;51,366670;7,666670;173;;
H562;Bruegge;1;1;51,220832;7,566555;258;;
H563;Schaelk;1;1;51,380330;7,591800;253;;
H570;Lehnscheid;1;1;51,241387;7,972164;507;;
H571;Wannebach TB;2;1;51,416670;8,050000;178;;
H574;Schwartmecke;1;1;51,192060;8,141340;470;;
H580;Fulmecke TB;2;1;51,350000;8,266670;254;;
H582;Graenscheid;1;1;51,360920;8,276690;313;;
H583;Echterberg;1;1;51,383810;8,140000;306;;
H592;Kuestelberg;1;1;51,213563;8,633781;551;;
H597;Heringhausen;1;1;51,357852;8,749379;485;;
H601;Dremmen;2;1;51,047900;6,172200;46;;
H605;Guedderath;2;2;51,116670;6,416670;72;;
H611;Waldniel;1;1;51,200000;6,266670;89;;
H620;Jackerath;2;1;51,036500;6,460300;112;;
H623;Fleher Bruecke;2;1;51,186260;6,775290;60;;
H624;Neuss - Holzheim;1;1;51,163900;6,646900;52;;
H625;Homert;1;1;51,172333;7,651340;502;;
H630;Schwarzbachtal;1;1;51,287000;6,873000;71;;
H631;Flughafenbruecke;2;1;51,278100;6,704800;48;;
H632;Stockum;1;1;51,271600;6,756300;30;;
H633;Hilden;1;1;51,200000;7,000000;163;;
H636;Langenfeld AK;1;1;51,116670;6,966670;53;;
H637;Richrath;1;1;51,116670;6,916670;48;;
H638;Dormagen;1;1;51,100000;6,800000;42;;
H640;Haan-Ost;1;1;51,216670;7,016670;165;;
H643;Blume;1;1;51,200000;7,250000;328;;
H644;Wermelskirchen;1;1;51,133890;7,201110;292;;
H645;Muengstener Bruecke;2;1;51,165910;7,136570;127;;
H649;Niedernfeld;1;1;51,198510;7,307440;294;;
H650;Vogelshaus;1;1;51,216570;7,388860;392;;
H651;Wipperbruecke;2;1;51,105830;7,488490;297;;
H652;Halver;1;1;51,192710;7,470760;368;;
H653;Marienheide;1;1;51,099570;7,509750;321;;
H659;Meinerzhagen;1;1;51,064000;7,711000;466;;
H660;Bremecke TB;2;1;51,216670;7,666670;415;;
H663;Sichter TB;2;1;51,130661;7,669656;521;;
H682;Fredeburg;1;1;51,185271;8,307981;427;;
H691;Albrechtsplatz;1;1;51,135511;8,423375;721;;
H702;Aldenhoven;1;1;50,897400;6,273700;119;;
H715;Rurbruecke Juelich;2;1;50,950000;6,350000;105;;
H720;Buir;1;1;50,863900;6,575700;106;;
H722;Juechen;1;1;51,101100;6,538600;71;;
H726;Bergheim;1;1;50,916670;6,616670;70;;
H729;Kerpen AK;1;1;50,895445;6,697913;73;;
H730;Rodenkirchen;2;1;50,883330;6,966670;65;;
H731;Neandertalbruecke;2;1;51,225700;6,916600;74;;
H732;Worringen;1;1;51,016670;6,816670;44;;
H733;Koeln-Niehl AS;1;1;51,016670;6,916670;48;;
H735;Koeln-Ost AK;2;1;50,950000;7,016670;43;;
H737;Frechen;1;1;50,928568;6,774468;124;;
H741;RB Lev;2;1;51,016670;6,966670;37;;
H742;Leverkusen AK;1;1;51,033330;7,016670;52;;
H743;Siefen;1;1;51,013630;7,166640;219;;
H746;Moitzfeld ;1;1;50,955600;7,173440;158;;
H747;Gremberg A559;1;1;50,919600;7,024430;59;;
H748;Koenigsforst AS;1;1;50,916670;7,116670;99;;
H750;Laudenberg;1;1;51,077450;7,278582;266;;
H751;Rott;1;1;50,953470;7,309840;102;;
H752;Merzbrueck;1;1;50,846500;6,195800;177;;
H754;Engelskirchen;1;1;50,966670;7,400000;290;;
H757;Burscheid;1;1;51,085100;7,132200;215;;
H760;Oberagger;1;1;50,990560;7,643890;228;;
H761;Spurkenbach;1;1;50,862500;7,608060;334;;
H762;Achenbach;1;1;50,869444;7,966110;416;;
H765;Wiehltalbruecke;2;1;50,966670;7,466670;295;;
H769;Heumar;1;1;50,916670;7,066670;49;;
H770;BlecheTB;2;1;51,050000;7,733330;444;;
H771;Drolshagen;1;1;51,033330;7,800000;361;;
H772;Wenkhausen;1;1;51,023970;7,788660;334;;
H773;Aggertalbrueke;2;1;50,986110;7,548060;172;;
H774;Reichshof;1;1;50,983330;7,750000;425;;
H775;Eckenhagen;1;1;50,966670;7,716670;395;;
H776;Ottfingen TB;2;1;50,950000;7,900000;393;;
H778;Elben;2;1;50,994700;7,892220;400;;
H780;Krombach;1;1;50,990800;7,927250;471;;
H781;Geisweid;2;1;50,904290;8,015880;253;;
H782;Luetzel;1;1;50,970380;8,182030;566;;
H783;Welschen-Ennest;1;1;51,035560;7,997220;449;;
H785;Bockenbach;2;1;50,973300;7,940830;412;;
H787;Lindenhuette;2;1;50,967820;7,951830;392;;
H788;Holenstein;2;1;50,970300;7,974720;303;;
H790;Testfeld BASt SWS 1;1;1;50,950100;7,142000;97;;
H792;Testfeld BASt SWS 2;1;1;50,950100;7,142000;97;;
H796;Testfeld BASt SWS 3;1;1;50,950100;7,142000;97;;
H797;Testfeld BASt SWS 4;1;1;50,950100;7,142000;97;;
H798;Testfeld BASt SWS 5;1;1;50,950100;7,142000;97;;
H800;Grenze Vetschau;1;1;50,816670;6,016670;175;;
H804;Aachen R+T;1;1;50,816670;6,216670;215;;
H806;Lichtenbusch;1;1;50,716670;6,116670;277;;
H810;Aachen AK;2;1;50,804263;6,166839;186;;
H821;Rurbruecke Dueren;1;1;50,816670;6,416670;121;;
H824;TB Zingsheim;2;1;50,518009;6,664982;465;;
H825;Merzenich;1;1;50,846200;6,518900;128;;
H834;Ville R+T;1;1;50,866670;6,816670;121;;
H837;Bliesheim DZ L33;1;1;50,766670;6,816670;114;;
H844;Bruehl;1;1;50,783330;6,866670;165;;
H850;Logebachtalbruecke;2;1;50,676200;7,291500;204;;
H851;Elsdorf;1;1;50,893000;6,646200;88;;
H852;BB Muelheim;1;1;50,989900;7,012800;41;;
H854;Seelscheid;1;1;50,886560;7,358300;174;;
H858;Bonn-Ost;1;1;50,716670;7,166670;62;;
H864;Hennef;1;1;50,770800;7,308600;91;;
H870;Berkenroth;1;1;50,859710;7,539960;201;;
H871;Bruechermuehle;2;1;50,922260;7,647740;266;;
H880;Gerlingen TB;2;1;50,981014;7,839933;343;;
H881;Schloss Roettgen R+T;1;1;50,883330;7,066670;49;;
H882;Siegtalbruecke;2;1;50,850000;7,966670;326;;
H885;Kalteiche;1;1;50,766670;8,133330;506;;
H886;Am Wildenstein;1;1;50,766670;8,150000;456;;
H887;F.E. Bruecke;2;1;50,766670;7,083330;78;;
H890;Lipper Hoehe;1;1;50,705400;8,067840;617;;
H891;Struth;1;1;50,721710;8,083837;583;;
H925;Wallenthal;1;1;50,556670;6,569440;417;;
H933;Wisskirchen;1;1;50,616670;6,716670;241;;
H949;Meckenheim AK;1;1;50,566670;7,016670;310;;
H969;Bad Honnef AS;1;1;50,633330;7,316670;304;;
H972;Hellenthal;1;1;50,408324;6,369707;694;;
H991;Nettersheim;1;1;50,516670;6,666670;508;;
H993;Blankenheim;1;1;50,466670;6,700000;549;;
J700;Perl;1;1;49,475000;6,432780;415;;
J701;Potsdamer Platz;1;1;49,518060;6,446110;405;;
J708;Wellingen;1;1;49,450000;6,516670;382;;
J710;Hardt;1;1;49,488842;6,605794;257;;
J711;Haargarten;1;1;49,463853;6,706609;328;;
J712;Michelbach;1;1;49,473736;6,834488;316;;
J713;Weiskirchen Wildgehege;1;1;49,561949;6,786212;504;;
J722;Soetern;1;1;49,600000;7,016670;447;;
J725;Mettnich (S);1;1;49,516670;7,000000;363;;
J726;Talbruecke Mettnich;2;1;49,516670;7,000000;363;;
J730;Freisen;1;1;49,540716;7,265784;435;;
J734;Ottweiler / Wehr;1;1;49,416271;7,159644;265;;
J735;Tholey Sotzweiler;1;1;49,471448;7,013215;349;;
J737;Bierfeld;1;1;49,604617;6,955786;414;;
J800;Fremersdorf;1;1;49,408330;6,647500;176;;
J804;Saarbruecken Fechingen;1;1;49,208603;7,060038;260;;
J810;Saarbruecken Schoenbach;2;2;49,211434;7,022081;204;;
J816;Schwarzenholz;1;1;49,341670;6,800000;230;;
J817;Saarbruecken St. Amual;1;1;49,221541;7,014189;188;;
J818;Saarbruecken Gersweiler;1;1;49,233300;6,955373;188;;
J820;Schiffweiler;1;1;49,373370;7,146905;336;;
J824;Riegelsberg;1;1;49,287220;6,956110;337;;
J825;AK Saarbruecken;1;1;49,350000;7,016670;383;;
J826;Saarbruecken Klarenthal;1;1;49,240878;6,924771;194;;
J829;Huehnerfeld;1;1;49,300000;7,033330;314;;
J831;Muenchwies;1;1;49,388610;7,255560;427;;
J837;Spiesen;1;1;49,316670;7,166670;314;;
J847;Waldmohr;1;1;49,366670;7,316670;269;;
J898;Voelklingen Ost;1;1;49,250535;6,873854;188;;
J899;Voelklingen ;1;1;49,250786;6,880915;183;;
J907;Goldene Bremm;1;1;49,216670;6,983330;219;;
J909;Grumbacher Berg;1;1;49,231810;7,081280;339;;
J910;Einoed;1;1;49,268706;7,309779;222;;
J912;Linsler Hof;1;1;49,248673;6,756231;195;;
J913;Felsberg;1;1;49,296184;6,683067;345;;
J914;Biesingen;1;1;49,220466;7,224228;332;;
J915;Habkirchen;1;1;49,133406;7,163008;307;;
J916;Ensheim;1;1;49,240002;7,127903;377;;
K030;Vettelhoven;1;1;50,581542;7,061613;211;;
K031;Karweiler;2;1;50,570259;7,119082;158;;
K050;Linkenbach;1;1;50,559028;7,546151;386;;
K051;Hambitz;1;2;50,637324;7,357385;300;;
K123;Kreuzberg;2;1;50,511872;6,981707;185;;
K130;Sinzig;2;2;50,528120;7,186310;198;;
K135;Vinxtbachtalbruecke;2;2;50,489270;7,219880;204;;
K138;Wehr;1;1;50,410294;7,237003;365;;
K140;Krahnenbergbruecke;2;1;50,441542;7,392408;98;;
K161;Bendorf;1;1;50,414000;7,582760;86;;
K163;Dernbacher Dreieck;2;1;50,459261;7,764225;319;;
K164;Kannenbaeckerland;1;1;50,451450;7,724080;388;;
K180;Nentershausen;1;1;50,423860;7,927950;304;;
K213;Stadtkyll;1;1;50,332694;6,515105;595;;
K241;Jammelshofen;1;1;50,386371;7,034633;602;;
K263;Luetzelbachtal;2;1;50,364040;7,473690;199;;
K265;Ochtendung;1;1;50,329490;7,409080;314;;
K266;Moseltalbruecke;2;1;50,312580;7,490510;88;;
K271;Neuhaeusel;2;1;50,389970;7,706034;312;;
K275;A5 Koblenz Nord;1;1;50,391670;7,547410;71;;
K276;Ehrbachtalbruecke;2;1;50,240433;7,802310;220;L;
K301;Eigelscheid;1;1;50,209110;6,243930;485;;
K304;Pruemtalbruecke;2;1;50,187440;6,385770;447;;
K309;Feuerscheid;1;1;50,104314;6,442167;490;;
K323;Kelberg;1;1;50,267892;6,825942;588;;
K324;Dockweiler;1;1;50,248765;6,795589;582;;
K335;Darscheid;1;1;50,207460;6,881340;487;;
K337;Manderscheid;1;1;50,107010;6,858450;463;A;
K341;Laubach;1;1;50,237780;7,069710;565;;
K365;Waldesch;1;2;50,248150;7,516390;409;A;
K411;Herforst;1;1;49,946054;6,691609;312;;
K424;Steinborn;1;1;50,073815;6,634057;512;;
K425;Kylltalbruecke;2;1;50,020008;6,574011;271;;
K437;Bergweiler;2;1;49,974600;6,826930;292;;
K438;Spangdahlem;1;1;50,004960;6,726092;369;;
K439;Oberpierscheid;1;1;50,058501;6,371454;551;;
K441;Daleiden/ Dasburg;1;1;50,046069;6,146874;389;;
K443;Liesertalbruecke;2;1;50,227778;6,851667;423;;
K445;Flussbach;1;1;50,022670;6,937910;337;A;
K447;AK Wittlich ;1;2;49,946310;6,882340;207;;
K480;Laudert;1;1;50,095053;7,603458;529;;
K489;Tiefenbachtalbruecke;2;1;49,975100;7,733000;427;;
K502;Irrel/Zweikreuz;1;1;49,830476;6,448258;245;;
K512;Hinzerath;1;1;49,854423;7,164360;570;;
K513;Ehrang;2;1;49,800920;6,702610;139;;
K514;Bekond;1;2;49,853528;6,796447;203;;
K518;Mehring;1;2;49,784660;6,818790;359;;
K524;Hochmosel West;2;1;49,968423;7,000976;270;;
K525;Hochmosel Ost;2;1;49,966824;7,008448;270;;
K551;Argenthal;1;1;49,978132;7,606356;484;;
K561;Nahetaldreieck;1;1;49,930490;7,933040;108;;
K572;AD Mainz;1;1;50,001136;8,165740;184;;
K583;Klein-Winternheim;1;1;49,946980;8,215780;206;;
K585;Rheinbruecke Weisenau;2;1;49,975430;8,323740;92;;
K587;Biebelnheim;1;1;49,794239;8,140722;164;;
K600;Sauertalbruecke;2;1;49,734560;6,509690;205;;
K602;Trierweiler;1;1;49,756910;6,572870;367;A;
K604;Vierherrenborn;1;1;49,599055;6,648623;485;;
K613;Ruwer;1;1;49,783058;6,704820;129;;
K622;Hinzert/Beuren;1;2;49,719160;6,891840;564;;
K671;Dautenheim;2;1;49,732260;8,137910;197;;
K677;Freimersheim;1;1;49,713190;8,070640;292;;
K720;Loesterbachbruecke;2;1;49,623760;6,932470;475;;
K732;Hahnweiler;1;1;49,575770;7,233900;536;;
K749;Hueffler;1;1;49,498094;7,396050;345;;
K765;Eselsbachtalbruecke;2;1;49,462040;7,812070;258;;
K768;Schorlenberg;1;2;49,481900;7,939030;415;;
K775;Pulvermuehle;1;1;49,541610;7,855510;267;;
K787;Leininger Berg;1;2;49,542961;8,128081;305;;
K791;Wiesoppenheim;1;1;49,603870;8,288590;118;;
K792;AK Frankenthal ;1;1;49,553170;8,314000;101;;
K793;Rheinbruecke Frankenthal;2;1;49,547467;8,413056;104;;
K851;Pirmasens;1;1;49,215000;7,655489;299;;
K852;Bann;1;1;49,393190;7,596030;436;;
K860;Waschmuehltal;1;1;49,456830;7,759090;284;;
K865;Johanniskreuz;1;1;49,336006;7,825894;470;;
K887;Neustadt/Weinstrasse;2;1;49,363146;8,197893;129;;
K888;Spitzenrheinhof;1;1;49,350988;8,457150;98;;
K889;Ellerstadt;1;1;49,472729;8,259240;105;;
K895;AD Ludwigshafen;1;1;49,453572;8,363511;95;;
K921;Contwig;1;1;49,229108;7,429260;342;;
K951;Dammheim;1;1;49,220225;8,143192;145;;
K997;Rheinbruecke Woerth;2;1;49,037332;8,298838;110;;
L027;Schoeneberger Kopf;1;1;51,525365;9,416184;202;;
L051;Am Quast;1;1;51,483330;9,050000;241;;
L102;Willingen;1;1;51,279401;8,636359;614;;
L135;Freienhagen;1;1;51,269178;9,050822;456;;
L142;Hoofer Berg;1;1;51,290032;9,358921;368;;
L158;Berghaeuser Bruecke;2;1;51,259528;9,493353;190;;
L159;Heli Ost;1;1;51,199520;9,749420;400;;
L160;Lutterberg;1;1;51,366670;9,633330;370;A;
L161;Walburg;1;1;51,200000;9,750000;400;;
L172;Pfaffenberg;1;1;51,259722;9,758758;452;;
L183;Hoher Meissner;1;1;51,208610;9,855560;716;;
L220;Loehlbach;1;1;51,068110;8,967030;492;;
L225;Hessensteinkurve;1;1;51,116564;8,876181;265;;
L242;Scharfenstein;1;1;51,190696;9,394008;249;;
L246;Kuhberg;1;1;51,062500;9,237220;193;;
L250;Kälbachtalbrücke;2;1;50,877222;9,124722;245;A;
L252;Melsungen;1;1;51,133330;9,466670;316;;
